"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"24","Maryland","24001000100","Allegany County, MD - 24001000100","2020","11.5%","","(10.2% - 12.9%)","10.2%","12.9%",
"24","Maryland","24001000200","Allegany County, MD - 24001000200","2020","14.8%","","(12.7% - 17.1%)","12.7%","17.1%",
"24","Maryland","24001000300","Allegany County, MD - 24001000300","2020","10.4%","","(8.4% - 12.6%)","8.4%","12.6%",
"24","Maryland","24001000400","Allegany County, MD - 24001000400","2020","10.8%","","(9.0% - 12.9%)","9.0%","12.9%",
"24","Maryland","24001000500","Allegany County, MD - 24001000500","2020","12.5%","","(10.6% - 14.5%)","10.6%","14.5%",
"24","Maryland","24001000600","Allegany County, MD - 24001000600","2020","10.0%","","(8.1% - 12.2%)","8.1%","12.2%",
"24","Maryland","24001000700","Allegany County, MD - 24001000700","2020","13.0%","","(10.8% - 15.6%)","10.8%","15.6%",
"24","Maryland","24001000800","Allegany County, MD - 24001000800","2020","13.7%","","(11.5% - 16.5%)","11.5%","16.5%",
"24","Maryland","24001001000","Allegany County, MD - 24001001000","2020","12.1%","","(10.1% - 14.4%)","10.1%","14.4%",
"24","Maryland","24001001100","Allegany County, MD - 24001001100","2020","11.2%","","(8.9% - 13.9%)","8.9%","13.9%",
"24","Maryland","24001001200","Allegany County, MD - 24001001200","2020","8.0%","","(6.4% - 9.8%)","6.4%","9.8%",
"24","Maryland","24001001300","Allegany County, MD - 24001001300","2020","16.7%","","(13.5% - 20.5%)","13.5%","20.5%",
"24","Maryland","24001001401","Allegany County, MD - 24001001401","2020","7.7%","","(6.0% - 9.4%)","6.0%","9.4%",
"24","Maryland","24001001402","Allegany County, MD - 24001001402","2020","9.1%","","(7.3% - 11.1%)","7.3%","11.1%",
"24","Maryland","24001001502","Allegany County, MD - 24001001502","2020","11.7%","","(10.5% - 13.1%)","10.5%","13.1%",
"24","Maryland","24001001503","Allegany County, MD - 24001001503","2020","11.0%","","(9.0% - 13.0%)","9.0%","13.0%",
"24","Maryland","24001001600","Allegany County, MD - 24001001600","2020","9.6%","","(7.6% - 11.8%)","7.6%","11.8%",
"24","Maryland","24001001700","Allegany County, MD - 24001001700","2020","10.8%","","(8.5% - 13.4%)","8.5%","13.4%",
"24","Maryland","24001001800","Allegany County, MD - 24001001800","2020","11.6%","","(8.9% - 15.7%)","8.9%","15.7%",
"24","Maryland","24001001900","Allegany County, MD - 24001001900","2020","10.2%","","(8.7% - 11.7%)","8.7%","11.7%",
"24","Maryland","24001002000","Allegany County, MD - 24001002000","2020","9.8%","","(8.3% - 11.4%)","8.3%","11.4%",
"24","Maryland","24001002100","Allegany County, MD - 24001002100","2020","11.7%","","(10.1% - 13.3%)","10.1%","13.3%",
"24","Maryland","24001002200","Allegany County, MD - 24001002200","2020","11.8%","","(9.9% - 13.9%)","9.9%","13.9%",
"24","Maryland","24003701101","Anne Arundel County, MD - 24003701101","2020","6.5%","","(5.5% - 7.6%)","5.5%","7.6%",
"24","Maryland","24003701102","Anne Arundel County, MD - 24003701102","2020","10.4%","","(8.5% - 12.5%)","8.5%","12.5%",
"24","Maryland","24003701200","Anne Arundel County, MD - 24003701200","2020","7.9%","","(6.2% - 9.6%)","6.2%","9.6%",
"24","Maryland","24003701300","Anne Arundel County, MD - 24003701300","2020","7.7%","","(6.5% - 9.0%)","6.5%","9.0%",
"24","Maryland","24003701400","Anne Arundel County, MD - 24003701400","2020","8.2%","","(7.2% - 9.3%)","7.2%","9.3%",
"24","Maryland","24003702100","Anne Arundel County, MD - 24003702100","2020","7.0%","","(5.5% - 8.7%)","5.5%","8.7%",
