"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"24","Maryland","24001000100","Allegany County, MD - 24001000100","2020","11","",
"24","Maryland","24001000200","Allegany County, MD - 24001000200","2020","62","",
"24","Maryland","24001000500","Allegany County, MD - 24001000500","2020","11","",
"24","Maryland","24001000600","Allegany County, MD - 24001000600","2020","0","",
"24","Maryland","24001000700","Allegany County, MD - 24001000700","2020","0","",
"24","Maryland","24001000800","Allegany County, MD - 24001000800","2020","23","",
"24","Maryland","24001001000","Allegany County, MD - 24001001000","2020","24","",
"24","Maryland","24001001100","Allegany County, MD - 24001001100","2020","1","",
"24","Maryland","24001001200","Allegany County, MD - 24001001200","2020","1","",
"24","Maryland","24001001300","Allegany County, MD - 24001001300","2020","106","",
"24","Maryland","24001001401","Allegany County, MD - 24001001401","2020","27","",
"24","Maryland","24001001402","Allegany County, MD - 24001001402","2020","6","",
"24","Maryland","24001001502","Allegany County, MD - 24001001502","2020","0","",
"24","Maryland","24001001503","Allegany County, MD - 24001001503","2020","19","",
"24","Maryland","24001001600","Allegany County, MD - 24001001600","2020","23","",
"24","Maryland","24001001700","Allegany County, MD - 24001001700","2020","69","",
"24","Maryland","24001001800","Allegany County, MD - 24001001800","2020","78","",
"24","Maryland","24001001900","Allegany County, MD - 24001001900","2020","0","",
"24","Maryland","24001002000","Allegany County, MD - 24001002000","2020","153","",
"24","Maryland","24001002100","Allegany County, MD - 24001002100","2020","5","",
"24","Maryland","24001002200","Allegany County, MD - 24001002200","2020","0","",
"24","Maryland","24001002300","Allegany County, MD - 24001002300","2020","25","",
"24","Maryland","24003701101","Anne Arundel County, MD - 24003701101","2020","24","",
"24","Maryland","24003701103","Anne Arundel County, MD - 24003701103","2020","413","",
"24","Maryland","24003701104","Anne Arundel County, MD - 24003701104","2020","142","",
"24","Maryland","24003701201","Anne Arundel County, MD - 24003701201","2020","44","",
"24","Maryland","24003701202","Anne Arundel County, MD - 24003701202","2020","59","",
"24","Maryland","24003701301","Anne Arundel County, MD - 24003701301","2020","35","",
"24","Maryland","24003701302","Anne Arundel County, MD - 24003701302","2020","0","",
"24","Maryland","24003701400","Anne Arundel County, MD - 24003701400","2020","166","",
"24","Maryland","24003702100","Anne Arundel County, MD - 24003702100","2020","47","",
"24","Maryland","24003702204","Anne Arundel County, MD - 24003702204","2020","64","",
"24","Maryland","24003702205","Anne Arundel County, MD - 24003702205","2020","241","",
"24","Maryland","24003702206","Anne Arundel County, MD - 24003702206","2020","178","",
"24","Maryland","24003702208","Anne Arundel County, MD - 24003702208","2020","616","",
"24","Maryland","24003702209","Anne Arundel County, MD - 24003702209","2020","136","",
"24","Maryland","24003702300","Anne Arundel County, MD - 24003702300","2020","67","",
"24","Maryland","24003702402","Anne Arundel County, MD - 24003702402","2020","102","",
"24","Maryland","24003702500","Anne Arundel County, MD - 24003702500","2020","370","",
"24","Maryland","24003702601","Anne Arundel County, MD - 24003702601","2020","36","",
"24","Maryland","24003702602","Anne Arundel County, MD - 24003702602","2020","60","",
"24","Maryland","24003702702","Anne Arundel County, MD - 24003702702","2020","100","",
"24","Maryland","24003702703","Anne Arundel County, MD - 24003702703","2020","33","",
"24","Maryland","24003702704","Anne Arundel County, MD - 24003702704","2020","93","",
"24","Maryland","24003706102","Anne Arundel County, MD - 24003706102","2020","26","",
"24","Maryland","24003706103","Anne Arundel County, MD - 24003706103","2020","8","",
"24","Maryland","24003706302","Anne Arundel County, MD - 24003706302","2020","185","",
"24","Maryland","24003706303","Anne Arundel County, MD - 24003706303","2020","43","",
"24","Maryland","24003706304","Anne Arundel County, MD - 24003706304","2020","17","",
"24","Maryland","24003706402","Anne Arundel County, MD - 24003706402","2020","164","",
"24","Maryland","24003706403","Anne Arundel County, MD - 24003706403","2020","764","",
"24","Maryland","24003706404","Anne Arundel County, MD - 24003706404","2020","516","",
"24","Maryland","24003706500","Anne Arundel County, MD - 24003706500","2020","674","",
"24","Maryland","24003706600","Anne Arundel County, MD - 24003706600","2020","258","",
"24","Maryland","24003706700","Anne Arundel County, MD - 24003706700","2020","85","",
"24","Maryland","24003707001","Anne Arundel County, MD - 24003707001","2020","51","",
"24","Maryland","24003707002","Anne Arundel County, MD - 24003707002","2020","39","",
"24","Maryland","24003708001","Anne Arundel County, MD - 24003708001","2020","23","",
"24","Maryland","24003708004","Anne Arundel County, MD - 24003708004","2020","413","",
"24","Maryland","24003730101","Anne Arundel County, MD - 24003730101","2020","1","",
"24","Maryland","24003730102","Anne Arundel County, MD - 24003730102","2020","239","",
"24","Maryland","24003730204","Anne Arundel County, MD - 24003730204","2020","251","",
"24","Maryland","24003730205","Anne Arundel County, MD - 24003730205","2020","357","",
"24","Maryland","24003730206","Anne Arundel County, MD - 24003730206","2020","132","",
"24","Maryland","24003730300","Anne Arundel County, MD - 24003730300","2020","182","",
"24","Maryland","24003730401","Anne Arundel County, MD - 24003730401","2020","281","",
"24","Maryland","24003730403","Anne Arundel County, MD - 24003730403","2020","274","",
"24","Maryland","24003730404","Anne Arundel County, MD - 24003730404","2020","47","",
"24","Maryland","24003730507","Anne Arundel County, MD - 24003730507","2020","251","",
"24","Maryland","24003730508","Anne Arundel County, MD - 24003730508","2020","93","",
"24","Maryland","24003730509","Anne Arundel County, MD - 24003730509","2020","108","",
"24","Maryland","24003730510","Anne Arundel County, MD - 24003730510","2020","85","",
"24","Maryland","24003730511","Anne Arundel County, MD - 24003730511","2020","19","",
"24","Maryland","24003730512","Anne Arundel County, MD - 24003730512","2020","100","",
"24","Maryland","24003730513","Anne Arundel County, MD - 24003730513","2020","42","",
"24","Maryland","24003730514","Anne Arundel County, MD - 24003730514","2020","365","",
"24","Maryland","24003730601","Anne Arundel County, MD - 24003730601","2020","115","",
"24","Maryland","24003730603","Anne Arundel County, MD - 24003730603","2020","41","",
"24","Maryland","24003730605","Anne Arundel County, MD - 24003730605","2020","0","",
"24","Maryland","24003730606","Anne Arundel County, MD - 24003730606","2020","68","",
"24","Maryland","24003730701","Anne Arundel County, MD - 24003730701","2020","18","",
"24","Maryland","24003730702","Anne Arundel County, MD - 24003730702","2020","5","",
"24","Maryland","24003730800","Anne Arundel County, MD - 24003730800","2020","91","",
"24","Maryland","24003730901","Anne Arundel County, MD - 24003730901","2020","47","",
"24","Maryland","24003730902","Anne Arundel County, MD - 24003730902","2020","131","",
"24","Maryland","24003731002","Anne Arundel County, MD - 24003731002","2020","134","",
"24","Maryland","24003731003","Anne Arundel County, MD - 24003731003","2020","53","",
"24","Maryland","24003731004","Anne Arundel County, MD - 24003731004","2020","14","",
"24","Maryland","24003731103","Anne Arundel County, MD - 24003731103","2020","51","",
"24","Maryland","24003731104","Anne Arundel County, MD - 24003731104","2020","148","",
"24","Maryland","24003731105","Anne Arundel County, MD - 24003731105","2020","59","",
"24","Maryland","24003731106","Anne Arundel County, MD - 24003731106","2020","168","",
"24","Maryland","24003731107","Anne Arundel County, MD - 24003731107","2020","118","",
"24","Maryland","24003731201","Anne Arundel County, MD - 24003731201","2020","105","",
"24","Maryland","24003731205","Anne Arundel County, MD - 24003731205","2020","78","",
"24","Maryland","24003731206","Anne Arundel County, MD - 24003731206","2020","14","",
"24","Maryland","24003731207","Anne Arundel County, MD - 24003731207","2020","0","",
"24","Maryland","24003731208","Anne Arundel County, MD - 24003731208","2020","25","",
"24","Maryland","24003731209","Anne Arundel County, MD - 24003731209","2020","18","",
"24","Maryland","24003731210","Anne Arundel County, MD - 24003731210","2020","22","",
"24","Maryland","24003731303","Anne Arundel County, MD - 24003731303","2020","12","",
"24","Maryland","24003731306","Anne Arundel County, MD - 24003731306","2020","98","",
