Agency,Department,Name,Address,Lat,Long,Computers Available,,,
MCG,FRS,F&RS,"8001 Connecticut Avenue, Chevy Chase MD",38.9907,-77.07685,No,,,
MCG,FRS,F&RS,"13900 Old Columbia Pike, Silver Spring, MD 20904",39.0852,-76.95151,No,,,
MCG,PIO/PublicSafety,PIO,"1401 Rockville Pike, Rockville, MD, 20850",39.067396,-76.95151,No,,,
MCG,DOT,Seven Locks Highway Services Bldg B / Lab,"1283 Seven Locks Road, Rockville, MD",39.0852,-77.128766,No,,,
MCG,FRS,F&RS,"19801 Bealsville Road, Bealsville, MD 20839",39.18022,-77.4116,No,,,
MCG,DLC,ABS,"14937E Shady Grove Road, Rockville, MD 20850",39.099172,-77.192391,No,,,
MCG,REC,Mid-County Recreation Center,"2004 Queensguard Drive, Wheaton, MD",36.103911,-79.816338 ,No,,,
MCG,CAO/CEX/CC/Courts,District Court   (State) (Grey CourtHouse),"27 Court House Square, Rockville, MD",40.777923,-74.463812,No,,,
MCG,REC,Longwood Community Recreation Center,"19300 Georgia Avenue, Brookville,  MD 20833",39.17583,-77.05846,No,,,
MCG,DLC,ABS,"20004-2008 Goshen Road, Gaithersburg, MD 20879",39.186773,-77.187103,No,,,
MCG,DPL,Quince Orchard Library,"15831 Quince Orchard Road, Gaithersburg, MD",39.115805,-77.252898,Yes,,,
MCG,DPL,Germantown Library,"19840 Century Blvd, Germantown, MD 20874",39.181509,-77.26622,Yes,,,
MCG,DLC,ABS,"10132 River Road, Potomac, MD 20854",39.017587,-77.208412,No,,,
MCG,DTS,DTS Computer Center,"100 Maryland Avenue, 3rd Floor, Rockville MD",34.826731,-82.437576,No,,,
MCG,CAO/CEX/CC/Courts,Rockville  District Court,"191 East Jefferson, Rockville, MD, 20850",39.533641,-94.563442,No,,,
MCG,DPL,White Oak Library,"11701 New Hampshire Avenue, Silver Spring, MD 20903",39.0481,-76.99213,Yes,,,
MCG,DLC,ABS,"12155 Darnestown Road, Gaithersburg, MD 20878",39.11752,-77.251414,No,,,
MCG,DLC,ABS,"11301 Seven Locks Road, Potomac, MD 20854",39.041749,-77.159328,No,,,
MCG,DLC,ABS,"300 North Washington Street, Rockville, MD 20850",39.08934,-77.153717,No,,,
MCG,DLC,ABS,"12051 Chestnut Branch Way, Suite 1, Clarksburg, MD 20871",39.229719,-77.249405,No,,,
MCG,DLC,ABS,"201 Edison Park Drive, Gaithersburg, 20878",39.113326,-77.234001,No,,,
MCG,HHS,DHHS Silver Spring Center,"8818 Georgia Avenue, Silver Spring, MD 20910",39.000666,-77.033282,No,,,
MCG,FRS,F&RS,"25801 Frederick Road, Clarksburg, MD",39.280151,-77.31489,No,,,
MCG,FRS,F&RS,"380 Hungerford Drive, Rockville, MD",39.087649,-77.150353,No,,,
MCG,DLC,ABS,"11239 New Hampshire Avenue, Silver Spring, MD 20904",39.040304,-76.990786,No,,,
MCG,HHS,HHS Dental Clinic & Offices,"1401 Rockville Pike, Rockville, MD, 20850",39.067396,-77.128766,No,,,
MCG,FRS,F&RS,"13216 New Hampshire Avenue, Silver Spring, MD",39.073004,-77.0032005,No,,,
MCG,MCPD,5Th District Police Station,"2000 Aircraft Drive, Germantown, MD 20874",39.18452458,-77.26215695,No,,,
MCG,DED/DEP,SWS Transfer Facility,"6001 Olney-Laytonsville Road, Laytonsville, MD",39.189907,-77.121242,No,,,
MCG,DPL,Noyes Childrens' Library,"10237 Carroll Place, Kensington, MD",39.024508,-77.073049,Yes,,,
MCG,FRS,F&RS,"121 Rollins Ave., Rockville, MD 20852",39.058786,-77.122595,No,,,
MCG,FRS,F&RS,"111 University Boulevard East, Silver Spring, MD 20901",39.017243,-77.0070727,No,,,
MCG,DPL,Praisner (Fairland) Library,"14910 Old Comumbia Pike, Burtonsville, MD 20866",39.101603,-76.940743,Yes,,,
MCG,DPL,Twinbrook Library,"202 Meadow Hall Drive, Rockville, MD 20851",39.101603,-77.113238,Yes,,,
MCG,FRS,F&RS,"20001 Crystal Rock Drive, Germantown, MD 20874",39.1850771,-77.2632691,No,,,
MCG,REC,Bauer Dr Community Center,"14625 Bauer Drive, Rockville, 20853",39.095357,-77.109505,No,,,
MCG,HHS,DHHS Colesville Center,"14015 New Hampshire Avenue,√Ç¬†Silver Spring, MD 20904",39.0863234,-76.9985292,No,,,
MCG,DPL,Gaithersburg Regional Library,"18330 Montgomery Village Avenue, Gaithersburg, MD",39.157702,-77.204993,Yes,,,
MCG,RSC,Sidney Kramer Upcounty Service ctr.,"12900 Middlebrook Road, Germantown MD",39.179332,-77.267914,No,,,
MCG,DPL,Aspen Hill Library,"4407 Aspen Hill Road, Rockville, MD",39.0795935,-77.0887432,Yes,,,
MCG,FRS,F&RS,"9615 Darnestown Road, Rockville, MD 20850",39.093803,-77.197944,No,,,
MCG,FRS,F&RS,"1945 Seminary Road, Silver Spring, MD",39.0090625,-77.0421624,No,,,
MCG,DLC,ABS,"11405 Georgia Avenue, Wheaton, MD 20902",39.041791,-77.051765,No,,,
MCG,DLC,ABS,"3733 University Boulevard, Kensington, MD 20895",39.032853,-77.073764,No,,,
MCG,DPL,Bethesda Regional Library,"7400 Arlington Road, Bethesda, MD",38.983734,-77.098578,Yes,,,
MCG,FRS,F&RS,"7201 Carroll Avenue, Takoma Park, MD",38.97757,-77.0073816,No,,,
MCG,DPL,Kensington Park Library,"4201 Knowles Avenue, Kensington, MD",39.028817,-77.081721,Yes,,,
MCG,DLC,ABS,"13661 Connecticut Avenue, Silver Spring, MD 20906",39.078569,-77.080702,No,,,
MCG,DHS,DHS Damascus,"26149 Ridge Road, Damascus, MD, 20872",39.287108,-77.207897,No,,,
MCG,REC,Schweinhart Sr. Center,"1000 Forest Glen Rd., Silver Spring, Md",42.365666,-122.896418,No,,,
MCG,MCPD,7Locks  Trailer,"1283 Seven Locks Road Rockville, MD 20854",39.065508,-77.161121,No,,,
