"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"24","Maryland","24001000100","Allegany County, MD - 24001000100","2018","5.0%","",
"24","Maryland","24001000200","Allegany County, MD - 24001000200","2018","4.4%","",
"24","Maryland","24001000300","Allegany County, MD - 24001000300","2018","3.9%","",
"24","Maryland","24001000400","Allegany County, MD - 24001000400","2018","3.4%","",
"24","Maryland","24001000500","Allegany County, MD - 24001000500","2018","5.2%","",
"24","Maryland","24001000600","Allegany County, MD - 24001000600","2018","4.3%","",
"24","Maryland","24001000700","Allegany County, MD - 24001000700","2018","5.3%","",
"24","Maryland","24001000800","Allegany County, MD - 24001000800","2018","5.7%","",
"24","Maryland","24001001000","Allegany County, MD - 24001001000","2018","5.0%","",
"24","Maryland","24001001100","Allegany County, MD - 24001001100","2018","3.7%","",
"24","Maryland","24001001200","Allegany County, MD - 24001001200","2018","2.7%","",
"24","Maryland","24001001300","Allegany County, MD - 24001001300","2018","3.6%","",
"24","Maryland","24001001401","Allegany County, MD - 24001001401","2018","2.6%","",
"24","Maryland","24001001402","Allegany County, MD - 24001001402","2018","3.0%","",
"24","Maryland","24001001502","Allegany County, MD - 24001001502","2018","3.9%","",
"24","Maryland","24001001503","Allegany County, MD - 24001001503","2018","4.0%","",
"24","Maryland","24001001600","Allegany County, MD - 24001001600","2018","3.4%","",
"24","Maryland","24001001700","Allegany County, MD - 24001001700","2018","3.8%","",
"24","Maryland","24001001800","Allegany County, MD - 24001001800","2018","3.9%","",
"24","Maryland","24001001900","Allegany County, MD - 24001001900","2018","3.6%","",
"24","Maryland","24001002000","Allegany County, MD - 24001002000","2018","3.8%","",
"24","Maryland","24001002100","Allegany County, MD - 24001002100","2018","4.0%","",
"24","Maryland","24001002200","Allegany County, MD - 24001002200","2018","4.4%","",
"24","Maryland","24003701101","Anne Arundel County, MD - 24003701101","2018","2.0%","",
"24","Maryland","24003701102","Anne Arundel County, MD - 24003701102","2018","1.9%","",
"24","Maryland","24003701200","Anne Arundel County, MD - 24003701200","2018","2.0%","",
"24","Maryland","24003701300","Anne Arundel County, MD - 24003701300","2018","1.8%","",
"24","Maryland","24003701400","Anne Arundel County, MD - 24003701400","2018","1.9%","",
"24","Maryland","24003702100","Anne Arundel County, MD - 24003702100","2018","2.0%","",
"24","Maryland","24003702204","Anne Arundel County, MD - 24003702204","2018","1.6%","",
"24","Maryland","24003702205","Anne Arundel County, MD - 24003702205","2018","1.5%","",
"24","Maryland","24003702206","Anne Arundel County, MD - 24003702206","2018","1.6%","",
"24","Maryland","24003702208","Anne Arundel County, MD - 24003702208","2018","1.6%","",
"24","Maryland","24003702209","Anne Arundel County, MD - 24003702209","2018","1.4%","",
"24","Maryland","24003702300","Anne Arundel County, MD - 24003702300","2018","1.8%","",
"24","Maryland","24003702402","Anne Arundel County, MD - 24003702402","2018","1.6%","",
"24","Maryland","24003702500","Anne Arundel County, MD - 24003702500","2018","1.9%","",
"24","Maryland","24003702601","Anne Arundel County, MD - 24003702601","2018","2.0%","",
